number,value,datetime_start,datetime_complete,duration,params_C,params_max_iter,params_solver,state
42,0.86,2023-09-21 21:00:15.623864,2023-09-21 21:00:15.670766,0 days 00:00:00.046902,0.0005114885064345864,200,sag,COMPLETE
43,0.86,2023-09-21 21:00:15.670766,2023-09-21 21:00:15.702005,0 days 00:00:00.031239,0.3414187901895028,300,sag,COMPLETE
44,0.86,2023-09-21 21:00:15.702005,2023-09-21 21:00:15.718037,0 days 00:00:00.016032,0.02162529797876918,300,lbfgs,COMPLETE
45,0.86,2023-09-21 21:00:15.718037,2023-09-21 21:00:16.063043,0 days 00:00:00.345006,6.843989322087323e-05,400,sag,COMPLETE
46,0.86,2023-09-21 21:00:16.063043,2023-09-21 21:00:16.078675,0 days 00:00:00.015632,0.0023501283007561946,200,lbfgs,COMPLETE
47,0.86,2023-09-21 21:00:16.078675,2023-09-21 21:00:16.094295,0 days 00:00:00.015620,0.06922876170528393,500,liblinear,COMPLETE
48,0.86,2023-09-21 21:00:16.094295,2023-09-21 21:00:16.125937,0 days 00:00:00.031642,0.00021229563473212183,300,lbfgs,COMPLETE
49,0.86,2023-09-21 21:00:16.125937,2023-09-21 21:00:16.157203,0 days 00:00:00.031266,0.0047050925912165194,400,lbfgs,COMPLETE
50,0.86,2023-09-21 21:00:16.157203,2023-09-21 21:00:16.266996,0 days 00:00:00.109793,0.0010915578430168904,200,saga,COMPLETE
51,0.86,2023-09-21 21:00:16.266996,2023-09-21 21:00:16.298248,0 days 00:00:00.031252,0.011080811655964385,400,sag,COMPLETE
52,0.86,2023-09-21 21:00:16.298248,2023-09-21 21:00:16.314885,0 days 00:00:00.016637,0.04438514086167158,300,sag,COMPLETE
53,0.86,2023-09-21 21:00:16.314885,2023-09-21 21:00:16.345548,0 days 00:00:00.030663,0.46823343382873067,300,sag,COMPLETE
54,0.86,2023-09-21 21:00:16.345548,2023-09-21 21:00:16.361168,0 days 00:00:00.015620,2.2915889069967226,500,sag,COMPLETE
55,0.86,2023-09-21 21:00:16.361168,2023-09-21 21:00:16.392420,0 days 00:00:00.031252,0.15250987855972295,400,lbfgs,COMPLETE
56,0.86,2023-09-21 21:00:16.392420,2023-09-21 21:00:16.424075,0 days 00:00:00.031655,0.008692881741011502,400,newton-cg,COMPLETE
57,0.86,2023-09-21 21:00:16.424075,2023-09-21 21:00:16.439716,0 days 00:00:00.015641,0.018289066468444158,300,lbfgs,COMPLETE
58,0.86,2023-09-21 21:00:16.439716,2023-09-21 21:00:16.455345,0 days 00:00:00.015629,0.0015718597061195523,300,liblinear,COMPLETE
59,0.86,2023-09-21 21:00:16.470965,2023-09-21 21:00:16.486595,0 days 00:00:00.015630,0.07690368102552046,200,lbfgs,COMPLETE
60,0.86,2023-09-21 21:00:16.486595,2023-09-21 21:00:16.517986,0 days 00:00:00.031391,0.49810236802075025,300,sag,COMPLETE
61,0.865,2023-09-21 21:00:16.517986,2023-09-21 21:00:16.549257,0 days 00:00:00.031271,1.4652463395171995,100,lbfgs,COMPLETE
62,0.83,2023-09-21 21:00:16.549257,2023-09-21 21:00:16.596127,0 days 00:00:00.046870,12.370405885442738,100,lbfgs,COMPLETE
63,0.86,2023-09-21 21:00:16.596127,2023-09-21 21:00:16.627785,0 days 00:00:00.031658,1.1438889252871143,100,lbfgs,COMPLETE
64,0.86,2023-09-21 21:00:16.627785,2023-09-21 21:00:16.659054,0 days 00:00:00.031269,0.23543133701773036,100,lbfgs,COMPLETE
65,0.86,2023-09-21 21:00:16.659054,2023-09-21 21:00:16.690308,0 days 00:00:00.031254,0.03718302905146136,100,lbfgs,COMPLETE
66,0.86,2023-09-21 21:00:16.690308,2023-09-21 21:00:16.705933,0 days 00:00:00.015625,0.006407905580800863,200,liblinear,COMPLETE
67,0.835,2023-09-21 21:00:16.705933,2023-09-21 21:00:16.768865,0 days 00:00:00.062932,27.554024303624423,100,lbfgs,COMPLETE
68,0.86,2023-09-21 21:00:16.768865,2023-09-21 21:00:16.784495,0 days 00:00:00.015630,0.002974027880898367,300,newton-cg,COMPLETE
69,0.86,2023-09-21 21:00:16.784495,2023-09-21 21:00:16.909404,0 days 00:00:00.124909,0.00048183904851736766,200,saga,COMPLETE
70,0.86,2023-09-21 21:00:16.909404,2023-09-21 21:00:16.941084,0 days 00:00:00.031680,5.139647583041933,300,lbfgs,COMPLETE
71,0.86,2023-09-21 21:00:16.941084,2023-09-21 21:00:16.972329,0 days 00:00:00.031245,0.15445323862565824,100,lbfgs,COMPLETE
72,0.865,2023-09-21 21:00:16.972329,2023-09-21 21:00:17.016098,0 days 00:00:00.043769,1.6149805760867204,100,lbfgs,COMPLETE
73,0.86,2023-09-21 21:00:17.016098,2023-09-21 21:00:17.035250,0 days 00:00:00.019152,0.6650724170729873,100,lbfgs,COMPLETE
74,0.865,2023-09-21 21:00:17.035250,2023-09-21 21:00:17.082131,0 days 00:00:00.046881,1.899282393228307,100,lbfgs,COMPLETE
75,0.865,2023-09-21 21:00:17.082131,2023-09-21 21:00:17.116391,0 days 00:00:00.034260,1.7064598738721117,100,lbfgs,COMPLETE
76,0.86,2023-09-21 21:00:17.116391,2023-09-21 21:00:17.160675,0 days 00:00:00.044284,2.6963533483240063,100,lbfgs,COMPLETE
77,0.845,2023-09-21 21:00:17.160675,2023-09-21 21:00:17.191931,0 days 00:00:00.031256,6.9754626260087615,100,lbfgs,COMPLETE
78,0.86,2023-09-21 21:00:17.191931,2023-09-21 21:00:17.239218,0 days 00:00:00.047287,0.9816448244040928,100,lbfgs,COMPLETE
79,0.865,2023-09-21 21:00:17.239218,2023-09-21 21:00:17.270462,0 days 00:00:00.031244,1.4657498393785342,100,lbfgs,COMPLETE
80,0.865,2023-09-21 21:00:17.270462,2023-09-21 21:00:17.301721,0 days 00:00:00.031259,1.741094987956321,100,lbfgs,COMPLETE
81,0.865,2023-09-21 21:00:17.301721,2023-09-21 21:00:17.333405,0 days 00:00:00.031684,1.76365851549863,100,lbfgs,COMPLETE
82,0.865,2023-09-21 21:00:17.333405,2023-09-21 21:00:17.380287,0 days 00:00:00.046882,1.7565299078240262,100,lbfgs,COMPLETE
83,0.865,2023-09-21 21:00:17.380287,2023-09-21 21:00:17.411538,0 days 00:00:00.031251,1.6914281630353367,100,lbfgs,COMPLETE
84,0.865,2023-09-21 21:00:17.411538,2023-09-21 21:00:17.443225,0 days 00:00:00.031687,1.8899725455003171,100,lbfgs,COMPLETE
85,0.865,2023-09-21 21:00:17.443225,2023-09-21 21:00:17.553022,0 days 00:00:00.109797,1.674301798820563,100,lbfgs,COMPLETE
86,0.86,2023-09-21 21:00:17.553022,2023-09-21 21:00:17.599898,0 days 00:00:00.046876,4.37769846874201,100,lbfgs,COMPLETE
87,0.86,2023-09-21 21:00:17.599898,2023-09-21 21:00:17.631542,0 days 00:00:00.031644,3.1884894615708332,100,lbfgs,COMPLETE
88,0.84,2023-09-21 21:00:17.631542,2023-09-21 21:00:17.678433,0 days 00:00:00.046891,7.96653342668878,100,lbfgs,COMPLETE
89,0.865,2023-09-21 21:00:17.678433,2023-09-21 21:00:17.717618,0 days 00:00:00.039185,1.5140081961238938,100,lbfgs,COMPLETE
90,0.86,2023-09-21 21:00:17.717618,2023-09-21 21:00:17.741781,0 days 00:00:00.024163,0.7497790726744115,100,lbfgs,COMPLETE
91,0.865,2023-09-21 21:00:17.741781,2023-09-21 21:00:17.788656,0 days 00:00:00.046875,1.5579947401759335,100,lbfgs,COMPLETE
92,0.86,2023-09-21 21:00:17.788656,2023-09-21 21:00:17.820339,0 days 00:00:00.031683,2.1767996474372815,100,lbfgs,COMPLETE
93,0.86,2023-09-21 21:00:17.820339,2023-09-21 21:00:17.867236,0 days 00:00:00.046897,4.143696815402144,100,lbfgs,COMPLETE
94,0.86,2023-09-21 21:00:17.867236,2023-09-21 21:00:17.898478,0 days 00:00:00.031242,0.4861030484454486,100,lbfgs,COMPLETE
95,0.86,2023-09-21 21:00:17.898478,2023-09-21 21:00:17.930145,0 days 00:00:00.031667,1.0985897829038573,100,lbfgs,COMPLETE
96,0.835,2023-09-21 21:00:17.930145,2023-09-21 21:00:17.977046,0 days 00:00:00.046901,11.390116949243307,100,lbfgs,COMPLETE
97,0.86,2023-09-21 21:00:17.977046,2023-09-21 21:00:18.018328,0 days 00:00:00.041282,3.120911674816463,100,lbfgs,COMPLETE
98,0.865,2023-09-21 21:00:18.018328,2023-09-21 21:00:18.039982,0 days 00:00:00.021654,1.7145893641610124,100,lbfgs,COMPLETE
99,0.86,2023-09-21 21:00:18.039982,2023-09-21 21:00:18.071248,0 days 00:00:00.031266,0.3335279267421443,100,lbfgs,COMPLETE
